strain_zz,stress_zz_MPa,time_s
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.496880198587136685e-03,7.085244918570519701e+01,2.500000000000000000e+00
4.987541511038938447e-03,7.451522936509333306e+01,5.000000000000000000e+00
7.472014838700871686e-03,7.625922646750363754e+01,7.500000000000000000e+00
9.950330853167873441e-03,7.787002842594773711e+01,1.000000000000000000e+01
1.242251999855714835e-02,7.939547836991020802e+01,1.250000000000000000e+01
1.488861249375029311e-02,8.084303284175931026e+01,1.500000000000000000e+01
1.734863833461263577e-02,8.221856469760190578e+01,1.750000000000000000e+01
1.980262729617930303e-02,8.352735143837040255e+01,2.000000000000000000e+01
2.225060893481927565e-02,8.477416537620955239e+01,2.250000000000000000e+01
2.469261259037118517e-02,8.596333300160253543e+01,2.500000000000000000e+01
2.712866738825205071e-02,8.709886122873112413e+01,2.750000000000000000e+01
2.955880224154378011e-02,8.818416984944950343e+01,3.000000000000000000e+01
3.198304585305011133e-02,8.922261169970127526e+01,3.250000000000000000e+01
3.440142671733174839e-02,9.021717733543398765e+01,3.500000000000000000e+01
3.681397312271546957e-02,9.117060515809795618e+01,3.750000000000000000e+01
3.922071315328040653e-02,9.208540914311132042e+01,4.000000000000000000e+01
4.162167469081861498e-02,9.296390143472507361e+01,4.250000000000000000e+01
4.401688541677340610e-02,9.380821222544194882e+01,4.500000000000000000e+01
4.640637281415479348e-02,9.462030733239166125e+01,4.750000000000000000e+01
4.879016416943095930e-02,9.540200377647175856e+01,5.000000000000000000e+01
5.116828657439840417e-02,9.615498362424207812e+01,5.250000000000000000e+01
5.354076692802865745e-02,9.688080631313130198e+01,5.500000000000000000e+01
5.590763193829485778e-02,9.758091965110395449e+01,5.750000000000000000e+01
5.826890812397431813e-02,9.825666965296275635e+01,6.000000000000000000e+01
6.062462181643360482e-02,9.890930935461618390e+01,6.250000000000000000e+01
6.297479916138726264e-02,9.954000665698553973e+01,6.500000000000000000e+01
6.531946612064129520e-02,1.001498563279950673e+02,6.750000000000000000e+01
6.765864847381340696e-02,1.007398670350341945e+02,7.000000000000000000e+01
6.999237182003349711e-02,1.013109966296760973e+02,7.250000000000000000e+01
7.232066157962464825e-02,1.018641375017814852e+02,7.500000000000000000e+01
7.464354299576426988e-02,1.024001261334677366e+02,7.750000000000000000e+01
7.696104113612668718e-02,1.029197475496301308e+02,8.000000000000000000e+01
7.927318089450620386e-02,1.034237392345449962e+02,8.250000000000000000e+01
8.157998699242108298e-02,1.039127946885464837e+02,8.500000000000000000e+01
8.388148398070045808e-02,1.043875666733379148e+02,8.750000000000000000e+01
8.617769624105051096e-02,1.048486701710196343e+02,9.000000000000000000e+01
8.846864798760642468e-02,1.052966850895615352e+02,9.250000000000000000e+01
9.075436326846222923e-02,1.057321587384512469e+02,9.500000000000000000e+01
9.303486596718740786e-02,1.061556080978011920e+02,9.750000000000000000e+01
9.531017980432297809e-02,1.065675218986855270e+02,1.000000000000000000e+02
